Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),DwellingType,"First Quartile Sales Price
$'000s","Median Sales Price
$'000s","Third Quartile Sales Price
'000s","Mean Sales Price
$'000s","Sales
No.",Qtly change in Median,Annual change in Median,Qtly change in Count,Annual change in Count
Total,Total,Total,Hunters Hill,Strata,867,1100,1550,1185,s,-8.71%,29.03%,-8.70%,50.00%
Total,Total,Total,Inner West,Total,780,1350,1810,1389,785,0.52%,3.85%,-17.11%,31.93%
Total,Total,Total,Inner West,Non Strata,1530,1798,2160,1884,410,6.99%,5.74%,-24.07%,25.38%
Total,Total,Total,Inner West,Strata,657,770,948,848,375,-5.17%,-6.10%,-7.86%,39.93%
Total,Total,Total,Inverell,Total,243,299,391,340,87,4.00%,1.70%,-6.45%,97.73%
Total,Total,Total,Inverell,Non Strata,241,300,391,340,86,2.83%,1.87%,-6.52%,95.45%
Total,Total,Total,Inverell,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Junee,Total,230,300,358,308,s,19.80%,0.17%,-24.14%,15.79%
Total,Total,Total,Junee,Non Strata,230,300,358,308,s,19.80%,0.17%,-24.14%,15.79%
Total,Total,Total,Kempsey,Total,319,450,604,489,136,2.16%,25.30%,-3.55%,7.94%
Total,Total,Total,Kempsey,Non Strata,350,475,644,513,121,7.95%,27.35%,-5.47%,12.04%
Total,Total,Total,Kempsey,Strata,253,280,342,300,s,-33.33%,-7.59%,15.38%,-16.67%
Total,Total,Total,Kiama,Total,872,1050,1451,1202,104,9.20%,20.00%,-31.58%,40.54%
Total,Total,Total,Kiama,Non Strata,985,1300,1655,1368,77,23.34%,43.65%,-28.70%,37.50%
Total,Total,Total,Kiama,Strata,695,760,861,728,s,10.14%,13.94%,-38.64%,50.00%
Total,Total,Total,Ku-Ring-Gai,Total,1233,2250,3000,2307,498,12.50%,28.46%,-19.81%,16.36%
Total,Total,Total,Ku-Ring-Gai,Non Strata,2328,2783,3500,3011,312,11.30%,20.98%,-24.64%,27.35%
Total,Total,Total,Ku-Ring-Gai,Strata,850,990,1381,1127,186,4.21%,4.21%,-10.14%,1.64%
Total,Total,Total,Kyogle,Total,276,360,480,387,55,2.86%,5.88%,-14.06%,120.00%
Total,Total,Total,Kyogle,Non Strata,273,365,488,388,54,3.85%,7.21%,-11.48%,116.00%
Total,Total,Total,Kyogle,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Lachlan,Total,186,235,281,236,s,14.63%,62.07%,0.00%,166.67%
Total,Total,Total,Lachlan,Non Strata,186,235,281,236,s,14.63%,62.07%,0.00%,166.67%
Total,Total,Total,Lake Macquarie,Total,550,665,820,709,"1,044",4.72%,14.66%,-11.90%,32.32%
Total,Total,Total,Lake Macquarie,Non Strata,582,691,854,738,882,4.66%,16.09%,-10.64%,31.84%
Total,Total,Total,Lake Macquarie,Strata,455,530,629,554,162,1.92%,15.85%,-18.18%,35.00%
Total,Total,Total,Lane Cove,Total,715,875,2075,1477,199,-7.21%,-9.11%,-11.95%,11.80%
Total,Total,Total,Lane Cove,Non Strata,2420,2950,3775,3089,55,18.00%,18.66%,-28.57%,37.50%
Total,Total,Total,Lane Cove,Strata,697,773,930,861,144,0.12%,-11.97%,-3.36%,4.35%
Total,Total,Total,Leeton,Total,176,248,297,255,63,3.33%,-8.49%,0.00%,65.79%
Total,Total,Total,Leeton,Non Strata,187,252,303,263,56,2.34%,-10.00%,0.00%,51.35%
Total,Total,Total,Leeton,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Lismore,Total,412,510,635,544,213,10.87%,24.39%,-12.70%,19.66%
Total,Total,Total,Lismore,Non Strata,440,530,662,565,193,12.77%,22.69%,-13.84%,27.81%
Total,Total,Total,Lismore,Strata,304,361,386,339,s,10.50%,10.92%,0.00%,-25.93%
Total,Total,Total,Lithgow,Total,294,360,478,411,131,-6.01%,3.15%,24.76%,81.94%
Total,Total,Total,Lithgow,Non Strata,294,360,478,411,131,-7.10%,3.15%,27.18%,81.94%
Total,Total,Total,Liverpool,Total,590,745,889,747,641,4.20%,9.56%,-15.66%,38.15%
Total,Total,Total,Liverpool,Non Strata,733,830,950,849,443,4.40%,6.41%,-18.86%,38.01%
Total,Total,Total,Liverpool,Strata,440,520,600,520,198,1.96%,1.96%,-7.48%,38.46%
Total,Total,Total,Liverpool Plains,Total,157,244,294,240,50,-1.68%,13.64%,-13.79%,51.52%
Total,Total,Total,Liverpool Plains,Non Strata,157,244,294,240,50,-1.68%,13.64%,-13.79%,51.52%
Total,Total,Total,Lockhart,Total,127,160,250,215,s,-11.11%,-11.11%,44.44%,550.00%
Total,Total,Total,Lockhart,Non Strata,127,160,250,215,s,-11.11%,-11.11%,44.44%,550.00%
Total,Total,Total,Maitland,Total,460,560,655,578,440,8.74%,17.65%,-4.56%,28.28%
Total,Total,Total,Maitland,Non Strata,480,570,660,587,398,5.56%,14.34%,-3.40%,28.39%
Total,Total,Total,Maitland,Strata,331,398,479,484,42,2.05%,2.31%,-14.29%,27.27%
Total,Total,Total,Mid-Coast,Total,400,513,665,543,734,3.54%,18.09%,-6.14%,36.69%
Total,Total,Total,Mid-Coast,Non Strata,420,550,690,570,576,3.68%,22.11%,-8.43%,34.27%
Total,Total,Total,Mid-Coast,Strata,349,428,532,446,158,7.14%,11.18%,3.27%,46.30%
Total,Total,Total,Mid-Western Regional,Total,385,450,575,484,143,-3.23%,9.76%,-30.92%,20.17%
Total,Total,Total,Mid-Western Regional,Non Strata,389,460,583,489,138,-5.30%,10.65%,-28.87%,23.21%
Total,Total,Total,Mid-Western Regional,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Moree Plains,Total,130,265,389,267,53,21.14%,28.02%,-24.29%,70.97%
Total,Total,Total,Moree Plains,Non Strata,130,265,389,267,53,15.22%,27.10%,-20.90%,76.67%
Total,Total,Total,Mosman,Total,1023,2050,4380,2901,145,-11.35%,56.49%,-12.65%,12.40%
Total,Total,Total,Mosman,Non Strata,3763,4750,6150,5059,60,7.95%,17.28%,-22.08%,30.43%
Total,Total,Total,Mosman,Strata,880,1120,1575,1378,85,4.67%,12.00%,-4.49%,2.41%
Total,Total,Total,Murray River,Total,266,373,558,444,72,-1.65%,-4.49%,-21.74%,53.19%
Total,Total,Total,Murray River,Non Strata,313,405,577,472,63,-2.88%,1.25%,-14.86%,65.79%
Total,Total,Total,Murray River,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Murrumbidgee,Total,151,203,285,215,s,2.27%,1.25%,-11.11%,23.08%
Total,Total,Total,Murrumbidgee,Non Strata,151,203,285,215,s,2.27%,1.25%,-11.11%,23.08%
Total,Total,Total,Muswellbrook,Total,291,335,420,358,127,6.35%,8.06%,7.63%,73.97%
Total,Total,Total,Muswellbrook,Non Strata,295,340,422,363,114,6.42%,8.80%,5.56%,67.65%
Total,Total,Total,Muswellbrook,Strata,252,300,333,310,s,78.27%,-0.17%,30.00%,160.00%
Total,Total,Total,Nambucca,Total,385,500,680,541,93,-1.96%,16.28%,-6.06%,16.25%
Total,Total,Total,Nambucca,Non Strata,401,525,690,551,87,2.34%,20.69%,-6.45%,17.57%
Total,Total,Total,Nambucca,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Narrabri,Total,240,328,396,339,58,-6.43%,63.75%,-10.77%,114.81%
Total,Total,Total,Narrabri,Non Strata,236,308,379,313,54,-12.14%,53.75%,-16.92%,100.00%
Total,Total,Total,Narrabri,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Narrandera,Total,178,230,266,239,s,24.05%,74.52%,-23.08%,50.00%
Total,Total,Total,Narrandera,Non Strata,178,230,266,239,s,24.05%,74.52%,-23.08%,50.00%
Total,Total,Total,Narromine,Total,215,273,385,322,s,1.87%,-14.17%,-39.47%,27.78%
Total,Total,Total,Narromine,Non Strata,215,273,385,322,s,1.87%,-14.17%,-39.47%,27.78%
Total,Total,Total,Newcastle,Total,550,681,850,761,869,2.41%,13.03%,-13.88%,23.61%
Total,Total,Total,Newcastle,Non Strata,620,730,914,838,574,3.55%,14.06%,-19.83%,18.35%
Total,Total,Total,Newcastle,Strata,475,560,718,611,295,1.82%,9.80%,0.68%,35.32%
Total,Total,Total,North Sydney,Total,938,1295,1980,1663,394,2.37%,2.37%,-17.23%,11.61%
Total,Total,Total,North Sydney,Non Strata,2400,3300,4150,3451,71,10.83%,22.22%,-1.39%,54.35%
Total,Total,Total,North Sydney,Strata,868,1180,1520,1269,323,0.00%,0.85%,-20.05%,5.21%
Total,Total,Total,Northern Beaches,Total,1065,1815,2400,1924,"1,087",7.40%,17.10%,-21.17%,15.03%
Total,Total,Total,Northern Beaches,Non Strata,2000,2350,3004,2616,546,11.90%,21.76%,-27.39%,13.51%
Total,Total,Total,Northern Beaches,Strata,858,1060,1490,1226,541,9.05%,9.56%,-13.72%,16.59%
Total,Total,Total,Oberon,Total,350,422,475,425,s,-9.25%,-2.43%,-43.24%,110.00%
Total,Total,Total,Oberon,Non Strata,350,422,475,425,s,-15.60%,-2.43%,-38.24%,110.00%
Total,Total,Total,Orange,Total,418,530,659,573,226,7.07%,21.84%,-25.41%,35.33%
Total,Total,Total,Orange,Non Strata,450,535,671,594,207,5.42%,20.90%,-26.07%,30.19%
Total,Total,Total,Orange,Strata,279,345,395,345,s,31.68%,22.78%,-17.39%,137.50%
Total,Total,Total,Parkes,Total,219,254,388,292,82,-16.99%,-16.72%,10.81%,74.47%
Total,Total,Total,Parkes,Non Strata,219,254,388,292,82,-16.99%,-16.72%,10.81%,74.47%
Total,Total,Total,Parramatta,Total,630,795,1135,917,"1,185",-0.62%,5.30%,-5.58%,42.60%
Total,Total,Total,Parramatta,Non Strata,1175,1360,1610,1409,375,5.43%,8.76%,-19.53%,37.87%
Total,Total,Total,Parramatta,Strata,570,690,800,689,810,1.92%,4.86%,2.66%,44.90%
Total,Total,Total,Penrith,Total,552,696,810,693,945,4.66%,8.75%,2.27%,36.56%
Total,Total,Total,Penrith,Non Strata,717,780,863,810,576,7.07%,9.86%,-5.88%,32.11%
Total,Total,Total,Penrith,Strata,438,522,580,510,369,0.77%,4.71%,18.27%,44.14%
Total,Total,Total,Port Macquarie-Hastings,Total,489,609,750,632,478,7.70%,12.89%,-15.25%,27.13%
Total,Total,Total,Port Macquarie-Hastings,Non Strata,560,659,795,689,345,4.60%,15.36%,-13.32%,21.48%
Total,Total,Total,Port Macquarie-Hastings,Strata,395,455,558,482,133,4.12%,5.08%,-19.88%,44.57%
Total,Total,Total,Port Stephens,Total,452,595,745,625,437,-4.03%,5.12%,-19.82%,31.23%
Total,Total,Total,Port Stephens,Non Strata,506,650,786,674,323,-3.70%,5.31%,-21.22%,25.19%
Total,Total,Total,Port Stephens,Strata,346,473,594,484,114,9.25%,15.24%,-15.56%,52.00%
Total,Total,Total,Queanbeyan-Palerang Regional,Total,469,645,814,675,263,5.74%,10.16%,-32.22%,5.20%
Total,Total,Total,Queanbeyan-Palerang Regional,Non Strata,635,742,911,798,181,2.49%,8.80%,-34.42%,0.00%
Total,Total,Total,Queanbeyan-Palerang Regional,Strata,305,392,500,405,82,-2.00%,12.00%,-26.79%,18.84%
Total,Total,Total,Randwick,Total,899,1370,2286,1736,547,-2.14%,-9.27%,-6.81%,34.40%
Total,Total,Total,Randwick,Non Strata,2160,2700,3500,2903,193,17.39%,14.99%,-13.06%,37.86%
Total,Total,Total,Randwick,Strata,806,989,1319,1100,354,3.10%,-10.11%,-3.01%,32.58%
Total,Total,Total,Richmond Valley,Total,325,395,545,441,112,11.27%,14.49%,-17.65%,19.15%
Total,Total,Total,Richmond Valley,Non Strata,335,395,553,449,103,8.52%,19.70%,-11.21%,27.16%
Total,Total,Total,Richmond Valley,Strata,-,-,-,-,-,-,-,-,-
Total,Total,Total,Ryde,Total,715,930,1419,1169,611,-1.27%,9.41%,-6.57%,25.98%
Total,Total,Total,Ryde,Non Strata,1741,1973,2439,2105,158,12.71%,12.71%,-33.61%,24.41%
Total,Total,Total,Ryde,Strata,665,800,971,843,453,3.90%,5.68%,8.89%,26.54%
