Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Rest of State,Total,Rest of State,Mid-Western Regional,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Total,Total,210,280,350,121,"1,078",12.00%,7.69%,1.68%,0.83%
Rest of State,Total,Rest of State,Moree Plains,Total,1 Bedroom,-,-,-,-,60,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Total,Not Specified,-,-,-,-,35,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Total,2 Bedrooms,180,200,250,39,407,0.00%,0.00%,-23.53%,2.63%
Rest of State,Total,Rest of State,Moree Plains,Total,3 Bedrooms,280,300,380,55,426,3.45%,7.14%,17.02%,7.84%
Rest of State,Total,Rest of State,Moree Plains,Total,4 or more Bedrooms,350,450,460,s,150,21.62%,21.62%,0.00%,-21.05%
Rest of State,Total,Rest of State,Moree Plains,House,Total,260,300,400,75,627,7.14%,10.09%,0.00%,-10.71%
Rest of State,Total,Rest of State,Moree Plains,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,House,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,House,2 Bedrooms,210,230,250,s,90,9.52%,15.00%,-7.14%,-13.33%
Rest of State,Total,Rest of State,Moree Plains,House,3 Bedrooms,280,320,380,45,366,10.34%,14.29%,4.65%,-2.17%
Rest of State,Total,Rest of State,Moree Plains,House,4 or more Bedrooms,350,450,460,s,146,21.62%,25.00%,0.00%,-16.67%
Rest of State,Total,Rest of State,Moree Plains,Other,Total,-,-,-,-,44,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Other,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Townhouse,Total,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Townhouse,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Flat/Unit,Total,175,200,246,38,386,5.26%,0.00%,-2.56%,31.03%
Rest of State,Total,Rest of State,Moree Plains,Flat/Unit,1 Bedroom,-,-,-,-,47,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Flat/Unit,2 Bedrooms,175,200,220,s,295,0.00%,0.00%,-28.57%,19.05%
Rest of State,Total,Rest of State,Moree Plains,Flat/Unit,3 Bedrooms,-,-,-,-,35,-,-,-,-
Rest of State,Total,Rest of State,Moree Plains,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Total,Total,280,370,450,57,665,4.96%,32.14%,-5.00%,-12.31%
Rest of State,Total,Rest of State,Murray River,Total,1 Bedroom,-,-,-,-,41,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Total,Not Specified,-,-,-,-,33,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Total,2 Bedrooms,260,280,320,s,233,0.00%,21.74%,5.88%,-18.18%
Rest of State,Total,Rest of State,Murray River,Total,3 Bedrooms,360,400,440,s,253,9.59%,15.94%,12.50%,35.00%
Rest of State,Total,Rest of State,Murray River,Total,4 or more Bedrooms,-,-,-,-,105,-,-,-,-
Rest of State,Total,Rest of State,Murray River,House,Total,370,410,479,38,392,9.33%,8.61%,-7.32%,-5.00%
Rest of State,Total,Rest of State,Murray River,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,House,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murray River,House,2 Bedrooms,-,-,-,-,47,-,-,-,-
Rest of State,Total,Rest of State,Murray River,House,3 Bedrooms,370,400,450,s,225,8.11%,14.29%,19.05%,31.58%
Rest of State,Total,Rest of State,Murray River,House,4 or more Bedrooms,-,-,-,-,102,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Other,Total,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Other,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Townhouse,Total,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Townhouse,2 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Flat/Unit,Total,255,275,320,s,227,3.77%,34.15%,0.00%,-27.27%
Rest of State,Total,Rest of State,Murray River,Flat/Unit,1 Bedroom,-,-,-,-,34,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Flat/Unit,2 Bedrooms,260,275,320,s,170,0.00%,34.15%,9.09%,-25.00%
Rest of State,Total,Rest of State,Murray River,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murray River,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Total,Total,150,200,248,s,172,-11.11%,-21.57%,-6.25%,150.00%
Rest of State,Total,Rest of State,Murrumbidgee,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Total,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Total,2 Bedrooms,-,-,-,-,57,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Total,3 Bedrooms,-,-,-,-,72,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,House,Total,-,-,-,-,102,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,House,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,House,3 Bedrooms,-,-,-,-,66,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Other,Total,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Other,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Townhouse,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Flat/Unit,Total,-,-,-,-,56,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Flat/Unit,2 Bedrooms,-,-,-,-,41,-,-,-,-
Rest of State,Total,Rest of State,Murrumbidgee,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Total,Total,320,380,435,163,"1,630",5.56%,7.04%,-9.94%,-23.83%
Rest of State,Total,Rest of State,Muswellbrook,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Total,1 Bedroom,-,-,-,-,84,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Total,Not Specified,-,-,-,-,143,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Total,2 Bedrooms,250,310,363,s,299,14.81%,16.98%,-34.88%,-15.15%
Rest of State,Total,Rest of State,Muswellbrook,Total,3 Bedrooms,320,350,390,63,607,0.00%,4.48%,0.00%,-20.25%
Rest of State,Total,Rest of State,Muswellbrook,Total,4 or more Bedrooms,420,440,455,55,492,4.76%,10.00%,-15.38%,-26.67%
Rest of State,Total,Rest of State,Muswellbrook,House,Total,338,390,440,112,"1,031",-2.50%,2.63%,-2.61%,-19.42%
Rest of State,Total,Rest of State,Muswellbrook,House,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,House,Not Specified,-,-,-,-,58,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,House,2 Bedrooms,-,-,-,-,70,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,House,3 Bedrooms,300,350,380,49,441,1.45%,4.48%,16.67%,-9.26%
Rest of State,Total,Rest of State,Muswellbrook,House,4 or more Bedrooms,420,440,463,52,452,4.76%,10.00%,-13.33%,-25.71%
Rest of State,Total,Rest of State,Muswellbrook,Other,Total,-,-,-,-,130,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Other,Not Specified,-,-,-,-,53,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Other,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Townhouse,Total,-,-,-,-,112,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Townhouse,2 Bedrooms,-,-,-,-,45,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Townhouse,3 Bedrooms,-,-,-,-,58,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Flat/Unit,Total,229,310,393,40,357,8.77%,21.57%,-16.67%,5.26%
Rest of State,Total,Rest of State,Muswellbrook,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Flat/Unit,1 Bedroom,-,-,-,-,63,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Flat/Unit,Not Specified,-,-,-,-,31,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Flat/Unit,2 Bedrooms,253,290,368,s,169,9.43%,23.40%,-30.77%,12.50%
Rest of State,Total,Rest of State,Muswellbrook,Flat/Unit,3 Bedrooms,-,-,-,-,82,-,-,-,-
Rest of State,Total,Rest of State,Muswellbrook,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Total,Total,291,400,479,94,"1,494",14.29%,14.29%,0.00%,-17.54%
Rest of State,Total,Rest of State,Nambucca,Total,Bedsitter,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Total,1 Bedroom,200,235,261,s,157,-6.00%,17.50%,0.00%,33.33%
Rest of State,Total,Rest of State,Nambucca,Total,Not Specified,-,-,-,-,61,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Total,2 Bedrooms,270,300,380,s,410,0.00%,10.09%,-13.79%,-16.67%
Rest of State,Total,Rest of State,Nambucca,Total,3 Bedrooms,400,420,480,34,608,10.53%,16.67%,9.68%,-17.07%
Rest of State,Total,Rest of State,Nambucca,Total,4 or more Bedrooms,473,500,553,s,243,4.17%,16.28%,11.11%,-31.03%
Rest of State,Total,Rest of State,Nambucca,House,Total,400,440,520,57,864,7.32%,12.82%,18.75%,-18.57%
Rest of State,Total,Rest of State,Nambucca,House,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,House,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,House,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,House,2 Bedrooms,-,-,-,-,117,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,House,3 Bedrooms,400,420,480,s,478,6.33%,13.51%,50.00%,-9.09%
Rest of State,Total,Rest of State,Nambucca,House,4 or more Bedrooms,476,515,558,s,230,7.29%,19.77%,5.88%,-37.93%
Rest of State,Total,Rest of State,Nambucca,Other,Total,-,-,-,-,121,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Other,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Other,2 Bedrooms,-,-,-,-,42,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Townhouse,Total,-,-,-,-,95,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Townhouse,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Townhouse,2 Bedrooms,-,-,-,-,35,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Townhouse,3 Bedrooms,-,-,-,-,53,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Flat/Unit,Total,253,285,348,s,414,-1.72%,9.62%,-21.21%,-16.13%
Rest of State,Total,Rest of State,Nambucca,Flat/Unit,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Flat/Unit,1 Bedroom,-,-,-,-,118,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Flat/Unit,2 Bedrooms,260,300,340,s,216,7.14%,11.11%,-7.14%,-27.78%
Rest of State,Total,Rest of State,Nambucca,Flat/Unit,3 Bedrooms,-,-,-,-,53,-,-,-,-
Rest of State,Total,Rest of State,Nambucca,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Total,Total,220,320,386,92,"1,107",1.59%,6.67%,-1.08%,-19.30%
Rest of State,Total,Rest of State,Narrabri,Total,1 Bedroom,155,195,220,s,170,-2.50%,-15.22%,-17.65%,7.69%
Rest of State,Total,Rest of State,Narrabri,Total,Not Specified,-,-,-,-,38,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Total,2 Bedrooms,200,220,290,s,384,0.00%,0.00%,4.55%,-39.47%
Rest of State,Total,Rest of State,Narrabri,Total,3 Bedrooms,290,350,390,37,345,0.00%,0.00%,5.71%,2.78%
Rest of State,Total,Rest of State,Narrabri,Total,4 or more Bedrooms,384,400,450,s,170,5.26%,0.00%,-15.79%,-40.74%
Rest of State,Total,Rest of State,Narrabri,House,Total,300,370,400,59,546,2.78%,5.71%,3.51%,-15.71%
Rest of State,Total,Rest of State,Narrabri,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,House,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,House,2 Bedrooms,-,-,-,-,63,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,House,3 Bedrooms,293,350,398,34,311,0.00%,0.00%,0.00%,0.00%
Rest of State,Total,Rest of State,Narrabri,House,4 or more Bedrooms,384,400,450,s,159,5.26%,0.00%,-15.79%,-38.46%
Rest of State,Total,Rest of State,Narrabri,Other,Total,-,-,-,-,69,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Other,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Other,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Townhouse,Total,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Townhouse,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Flat/Unit,Total,183,200,250,s,475,-4.76%,0.00%,-14.29%,-30.23%
Rest of State,Total,Rest of State,Narrabri,Flat/Unit,1 Bedroom,145,190,223,s,139,-5.00%,-11.63%,-35.29%,-8.33%
Rest of State,Total,Rest of State,Narrabri,Flat/Unit,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Flat/Unit,2 Bedrooms,193,200,250,s,297,-6.98%,0.00%,0.00%,-37.93%
Rest of State,Total,Rest of State,Narrabri,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrabri,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Total,Total,200,250,280,36,395,6.38%,13.64%,20.00%,-12.20%
Rest of State,Total,Rest of State,Narrandera,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Total,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Total,2 Bedrooms,-,-,-,-,114,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Total,3 Bedrooms,235,260,278,s,185,1.96%,4.00%,58.33%,-17.39%
Rest of State,Total,Rest of State,Narrandera,Total,4 or more Bedrooms,-,-,-,-,55,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,House,Total,250,265,295,s,269,6.00%,10.42%,42.11%,-18.18%
Rest of State,Total,Rest of State,Narrandera,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,House,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,House,2 Bedrooms,-,-,-,-,41,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,House,3 Bedrooms,250,260,279,s,164,0.00%,4.00%,80.00%,-21.74%
Rest of State,Total,Rest of State,Narrandera,House,4 or more Bedrooms,-,-,-,-,54,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Other,Total,-,-,-,-,33,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Other,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Other,2 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Townhouse,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Townhouse,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Flat/Unit,Total,-,-,-,-,87,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Flat/Unit,2 Bedrooms,-,-,-,-,58,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narrandera,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Total,Total,220,290,350,53,380,16.00%,16.00%,60.61%,23.26%
Rest of State,Total,Rest of State,Narromine,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Total,1 Bedroom,-,-,-,-,32,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Total,Not Specified,-,-,-,-,61,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Total,2 Bedrooms,196,210,280,s,93,5.00%,5.00%,63.64%,200.00%
Rest of State,Total,Rest of State,Narromine,Total,3 Bedrooms,290,300,350,s,143,7.14%,7.14%,57.14%,-4.35%
Rest of State,Total,Rest of State,Narromine,Total,4 or more Bedrooms,-,-,-,-,50,-,-,-,-
Rest of State,Total,Rest of State,Narromine,House,Total,265,300,350,31,192,0.00%,8.11%,93.75%,3.33%
Rest of State,Total,Rest of State,Narromine,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,House,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,House,2 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narromine,House,3 Bedrooms,300,300,350,s,112,3.45%,10.09%,54.55%,-22.73%
Rest of State,Total,Rest of State,Narromine,House,4 or more Bedrooms,-,-,-,-,43,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Other,Total,-,-,-,-,93,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Other,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Other,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Other,Not Specified,-,-,-,-,54,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Other,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Other,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Townhouse,Total,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Townhouse,2 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Flat/Unit,Total,205,220,250,s,92,7.32%,25.71%,7.14%,50.00%
Rest of State,Total,Rest of State,Narromine,Flat/Unit,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Flat/Unit,2 Bedrooms,-,-,-,-,51,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Flat/Unit,3 Bedrooms,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Narromine,Flat/Unit,4 or more Bedrooms,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Total,Total,288,328,380,s,372,-0.76%,3.97%,7.69%,-36.36%
Rest of State,Total,Rest of State,Oberon,Total,Bedsitter,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Total,1 Bedroom,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Total,Not Specified,-,-,-,-,s,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Total,2 Bedrooms,-,-,-,-,100,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Total,3 Bedrooms,298,350,363,s,152,6.06%,7.69%,-7.69%,-40.00%
Rest of State,Total,Rest of State,Oberon,Total,4 or more Bedrooms,-,-,-,-,77,-,-,-,-
Rest of State,Total,Rest of State,Oberon,House,Total,300,350,390,s,246,0.00%,0.00%,21.05%,-20.69%
Rest of State,Total,Rest of State,Oberon,House,1 Bedroom,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,House,Not Specified,-,-,-,-,-,-,-,-,-
Rest of State,Total,Rest of State,Oberon,House,2 Bedrooms,-,-,-,-,34,-,-,-,-
Rest of State,Total,Rest of State,Oberon,House,3 Bedrooms,310,350,365,s,128,2.94%,6.06%,-8.33%,-26.67%
Rest of State,Total,Rest of State,Oberon,House,4 or more Bedrooms,-,-,-,-,76,-,-,-,-
Rest of State,Total,Rest of State,Oberon,Other,Total,-,-,-,-,s,-,-,-,-
