Greater Metropolitan Region (GMR),Greater Sydney,Rings,Local Government Area (LGA),Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
$","Median Weekly Rent for New Bonds
$","Third Quartile Weekly Rent for New Bonds
$","New Bonds Lodged
No.","Total Bonds Held
No.",Quarterly change in Median Weekly Rent,Annual change in Median Weekly Rent,Quarterly change in New Bonds Lodged,Annual change in New Bonds Lodged
Total,Total,Total,Balranald,Total,2 Bedrooms,-,-,-,-,32,-,-,-,-
Total,Total,Total,Balranald,Total,3 Bedrooms,-,-,-,-,53,-,-,-,-
Total,Total,Total,Balranald,Total,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Balranald,House,Total,-,-,-,-,69,-,-,-,-
Total,Total,Total,Balranald,House,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,House,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,House,3 Bedrooms,-,-,-,-,44,-,-,-,-
Total,Total,Total,Balranald,House,4 or more Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Balranald,Other,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Other,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Other,2 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Other,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Townhouse,Total,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Townhouse,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Flat/Unit,Total,-,-,-,-,31,-,-,-,-
Total,Total,Total,Balranald,Flat/Unit,1 Bedroom,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Flat/Unit,Not Specified,-,-,-,-,-,-,-,-,-
Total,Total,Total,Balranald,Flat/Unit,2 Bedrooms,-,-,-,-,s,-,-,-,-
Total,Total,Total,Balranald,Flat/Unit,3 Bedrooms,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bathurst Regional,Total,Total,320,375,440,361,"4,228",4.17%,10.29%,-21.52%,-14.05%
Total,Total,Total,Bathurst Regional,Total,Bedsitter,-,-,-,-,43,-,-,-,-
Total,Total,Total,Bathurst Regional,Total,1 Bedroom,223,240,290,s,343,14.29%,9.09%,-42.31%,-25.00%
Total,Total,Total,Bathurst Regional,Total,Not Specified,-,-,-,-,313,-,-,-,-
Total,Total,Total,Bathurst Regional,Total,2 Bedrooms,285,320,340,93,"1,100",6.67%,12.28%,-23.14%,-6.06%
Total,Total,Total,Bathurst Regional,Total,3 Bedrooms,358,385,418,135,"1,509",1.32%,10.79%,-21.51%,-16.67%
Total,Total,Total,Bathurst Regional,Total,4 or more Bedrooms,428,460,500,100,920,2.22%,6.98%,-5.66%,-11.50%
Total,Total,Total,Bathurst Regional,House,Total,360,400,460,240,"2,512",0.00%,5.26%,-16.96%,-12.09%
Total,Total,Total,Bathurst Regional,House,Bedsitter,-,-,-,-,-,-,-,-,-
Total,Total,Total,Bathurst Regional,House,1 Bedroom,-,-,-,-,34,-,-,-,-
Total,Total,Total,Bathurst Regional,House,Not Specified,-,-,-,-,148,-,-,-,-
Total,Total,Total,Bathurst Regional,House,2 Bedrooms,300,330,350,s,253,6.45%,13.79%,-37.84%,-20.69%
