,,,,,,,Percentile ratos,,,,,Income share,,,,,,
,,Earners,Median age of earners,Sum,Median,Mean,P80/P20,P80/P50,P20/P50,P10/P50,Gini coefficient,Top 1%,Top 5%,Top 10%,Lowest Quartile,Second Quartile,Third Quartile,Highest Quartile
LGA,LGA NAME,(persons),years,$,$,$,ratio,ratio,ratio,ratio,coef.,%,%,%,%,%,%,%
11150,Bourke,"1,313",43,"7,29,45,725","50,405","55,557",4.80,1.73,0.36,0.15,0.468,6.5,17.8,28.5,24.6,25.0,27.7,22.7
11200,Brewarrina,595,45,"2,79,40,239","44,520","46,958",6.08,1.77,0.29,0.08,0.506,4.2,16.6,28.1,28.4,27.7,27.5,16.4
11250,Broken Hill,"8,519",44,"50,57,42,189","50,628","59,366",4.66,1.85,0.40,0.18,0.427,5.3,16.3,27.0,22.8,26.3,25.7,25.1
11300,Burwood,"23,592",36,"1,32,99,26,689","40,562","56,372",5.73,2.09,0.37,0.15,0.511,9.3,23.0,34.9,31.5,26.5,21.2,20.8
11350,Byron,"21,963",45,"1,10,43,13,325","35,180","50,281",5.57,2.03,0.36,0.16,0.535,12.0,26.6,38.2,34.9,30.2,19.7,15.1
11400,Cabonne,"7,510",47,"43,26,80,810","45,679","57,614",5.86,1.89,0.32,0.11,0.515,10.3,23.1,34.2,28.5,25.2,24.7,21.7
11450,Camden,"53,683",39,"3,58,93,45,686","58,416","66,862",3.84,1.69,0.44,0.23,0.400,5.8,16.7,26.8,18.3,23.4,28.7,29.6
11500,Campbelltown,"88,044",39,"4,91,47,56,043","51,038","55,822",3.88,1.64,0.42,0.20,0.387,4.7,15.0,25.2,21.8,26.7,31.5,20.0
11520,Canada Bay,"56,812",41,"4,67,18,11,905","58,243","82,233",5.84,2.03,0.35,0.16,0.516,10.9,25.2,36.7,22.9,20.9,21.8,34.4
11570,Canterbury-Bankstown,"1,84,683",39,"9,87,55,68,162","43,786","53,473",4.60,1.85,0.40,0.19,0.446,6.6,18.6,29.7,28.0,28.0,25.2,18.8
11600,Carrathool,"1,713",43,"8,26,93,308","43,796","48,274",5.07,1.73,0.34,0.13,0.558,6.3,20.2,32.3,29.5,27.0,27.1,16.4
11650,Central Coast,"1,83,527",44,"10,56,24,10,860","47,148","57,552",4.88,1.85,0.38,0.15,0.453,7.0,19.3,30.2,25.8,27.0,25.2,22.1
11700,Central Darling,619,47,"3,92,55,925","48,952","63,418",5.15,1.94,0.38,0.16,0.533,6.9,24.4,35.9,23.3,27.7,23.8,25.2
11720,Cessnock,"27,971",41,"1,60,55,48,018","47,847","57,400",4.74,1.85,0.39,0.16,0.443,6.0,17.6,28.9,24.9,27.2,25.2,22.6
11730,Clarence Valley,"25,301",48,"1,18,30,63,498","39,211","46,760",5.80,1.88,0.32,0.10,0.470,6.4,18.5,29.8,31.9,30.2,22.5,15.3
11750,Cobar,"2,384",41,"16,56,41,908","57,158","69,481",5.65,2.00,0.35,0.11,0.459,4.9,16.7,27.7,22.7,21.9,20.1,35.2
11800,Coffs Harbour,"41,575",45,"2,10,13,88,097","41,618","50,545",5.17,1.84,0.36,0.13,0.465,7.1,19.7,30.9,29.7,29.6,24.0,16.7
12000,Coolamon,"2,397",48,"11,32,47,709","42,936","47,246",7.08,1.82,0.26,0.07,0.529,5.9,19.0,31.0,31.0,26.8,25.5,16.8
12150,Coonamble,"1,810",47,"8,78,97,383","43,036","48,562",5.87,1.88,0.32,0.07,0.641,9.0,24.0,36.2,28.8,28.3,24.4,18.5
12160,Cootamundra-Gundagai Regional,"5,760",48,"29,69,29,177","43,198","51,550",5.26,1.83,0.35,0.11,0.475,6.5,19.4,30.8,28.7,28.6,24.7,18.0
12350,Cowra,"6,484",47,"30,93,68,596","40,926","47,713",5.23,1.75,0.33,0.12,0.476,7.6,20.0,31.1,30.1,31.5,24.1,14.3
12380,Cumberland,"1,20,688",36,"6,09,02,21,362","41,783","50,463",4.60,1.87,0.41,0.19,0.437,5.6,17.4,28.5,29.2,28.8,24.8,17.2
12390,Dubbo Regional,"28,211",42,"1,58,09,75,461","48,782","56,041",4.48,1.76,0.39,0.16,0.438,6.2,17.5,28.0,24.2,26.8,27.5,21.4
12700,Dungog,"5,021",48,"26,78,47,798","42,515","53,346",6.13,2.05,0.33,0.09,0.497,6.3,19.0,30.9,29.8,27.1,21.2,21.9
12730,Edward River,"5,049",47,"25,10,66,599","43,785","49,726",4.99,1.79,0.36,0.12,0.475,6.0,17.9,29.1,28.4,27.9,26.4,17.3
12750,Eurobodalla,"20,293",52,"92,26,04,836","37,455","45,464",5.54,1.82,0.33,0.11,0.475,7.5,20.3,31.6,32.9,32.1,22.0,13.0
12850,Fairfield,"93,590",40,"4,70,44,53,857","43,555","50,267",4.36,1.74,0.40,0.20,0.423,5.7,17.1,27.8,28.0,29.2,27.0,15.9
12870,Federation,"7,020",49,"34,01,84,095","42,484","48,459",5.50,1.80,0.33,0.12,0.459,5.4,17.2,28.2,29.8,27.7,26.2,16.3
12900,Forbes,"5,003",45,"26,82,51,394","45,120","53,618",4.71,1.79,0.38,0.13,0.480,7.9,20.4,31.4,26.3,29.2,26.1,18.5
12930,Georges River,"94,730",40,"5,79,15,10,502","46,473","61,137",5.22,1.95,0.37,0.15,0.487,8.8,22.2,33.6,27.3,25.6,23.6,23.4
12950,Gilgandra,"2,153",47,"9,36,42,911","39,443","43,494",6.42,1.84,0.29,0.06,0.545,6.5,19.0,30.9,33.5,28.3,24.0,14.3
13010,Glen Innes Severn,"4,251",49,"18,27,17,359","35,574","42,982",6.88,1.91,0.28,0.07,0.504,6.5,19.2,31.1,35.9,28.9,22.2,13.0
13310,Goulburn Mulwaree,"16,211",45,"90,27,36,160","48,393","55,687",4.44,1.80,0.40,0.17,0.432,5.3,16.4,27.1,23.9,27.6,26.5,22.0
13340,Greater Hume Shire,"6,132",48,"31,99,59,385","43,670","52,179",5.33,1.84,0.34,0.11,0.472,7.1,19.5,30.6,28.6,28.1,24.8,18.5
13450,Griffith,"16,298",41,"87,70,47,828","47,102","53,813",4.17,1.68,0.40,0.19,0.426,6.5,18.1,28.6,24.8,28.4,29.2,17.7
13550,Gunnedah,"6,769",43,"41,55,77,976","49,173","61,394",5.44,2.02,0.37,0.14,0.490,6.3,19.2,31.2,25.2,25.5,23.8,25.5
13660,Gwydir,"2,510",48,"11,12,39,643","39,708","44,319",7.14,1.86,0.26,0.05,0.583,7.6,21.4,33.5,33.7,27.4,23.4,15.4
13800,Hawkesbury,"39,291",43,"2,46,68,05,351","52,890","62,783",4.30,1.76,0.41,0.20,0.428,6.8,18.4,28.8,21.6,25.4,27.1,25.9
13850,Hay,"1,695",47,"9,04,57,054","44,833","53,367",4.40,1.77,0.40,0.20,0.451,6.3,18.7,29.6,26.0,28.8,27.6,17.6
13910,Hilltops,"9,773",46,"49,95,72,405","43,083","51,118",4.97,1.78,0.36,0.13,0.477,6.7,19.9,31.4,28.1,29.8,25.4,16.7
14000,Hornsby,"94,446",45,"6,93,91,47,049","54,744","73,472",6.21,2.05,0.33,0.13,0.499,8.4,22.0,33.8,25.4,21.0,21.4,32.3
14100,Hunters Hill,"8,703",48,"1,19,43,83,976","70,458","1,37,238",7.88,2.45,0.31,0.13,0.636,18.5,38.2,50.4,21.3,18.0,16.9,43.9
14170,Inner West,"1,21,429",39,"10,29,86,47,812","62,468","84,812",5.10,1.93,0.38,0.19,0.492,9.5,23.8,35.2,19.9,20.3,23.4,36.4
14200,Inverell,"8,254",45,"39,23,68,461","41,976","47,537",4.99,1.68,0.34,0.12,0.480,7.4,20.0,31.0,30.0,29.8,26.6,13.7
14300,Junee,"3,009",45,"15,63,42,140","46,701","51,958",4.65,1.73,0.37,0.13,0.455,5.0,16.7,28.3,25.9,27.8,27.8,18.5
14350,Kempsey,"13,259",49,"58,15,84,772","37,679","43,863",5.77,1.81,0.31,0.09,0.478,6.6,18.8,30.3,33.6,31.1,22.7,12.6
14400,Kiama,"13,400",49,"84,09,89,277","47,586","62,760",6.50,2.07,0.32,0.11,0.495,8.0,21.2,32.8,28.2,23.5,21.5,26.9
14500,Ku-ring-gai,"80,429",48,"8,65,75,67,400","60,000","1,07,642",8.23,2.47,0.30,0.12,0.605,15.0,33.0,45.5,25.2,18.9,17.2,38.7
14550,Kyogle,"4,535",51,"17,96,81,928","31,959","39,621",7.55,1.95,0.26,0.05,0.538,8.8,21.6,33.5,40.1,29.2,20.0,10.7
14600,Lachlan,"3,309",44,"16,15,57,085","40,843","48,824",5.66,1.89,0.33,0.11,0.513,7.2,20.2,31.6,30.3,28.2,24.7,16.8
